nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
HUMANITY PELLINI;3;1;0;8550.0;2026-02-19
JOKER GEMA;6;1;0;16500.0;2026-07-17
LAMAZA;1;0;0;2950.0;2026-01-09
LOULIE DE GUEZ;6;0;0;16725.0;2026-03-13
LA BELLE JAMINI;3;0;0;8450.0;2026-06-01
LEGENDE D'ETE;3;0;0;8700.0;2026-07-14
LANDELINA;3;0;0;8050.0;2026-04-05
LALA QUICK;4;0;0;9109.0;2026-07-04
LANDEN;5;0;0;13950.0;2026-07-12
LILAS DU MELEUC;5;0;0;13225.0;2026-06-05
LAMBADA TURGOT;6;1;0;15975.0;2026-07-16
NEW ANNA'S PROJECT;4;0;0;9875.0;2026-04-24
NEO MATCH;1;0;0;2150.0;2026-01-09
NORRIS DU YUCCA;2;0;0;4775.0;2026-01-17
NEVITA LOVE JO;3;0;0;6775.0;2026-03-03
NADJA D'OR;2;0;0;4900.0;2026-01-30
NEVADA THORIS;3;0;0;6850.0;2026-06-01
NOUIC DI PALBA;6;0;0;14800.0;2026-03-07
NUIT A LA GRAVE;1;1;0;2150.0;2026-01-09
NUMBER FACE;1;0;0;2150.0;2026-01-09
NEW D'ARAC;8;1;0;20175.0;2026-06-17
NARKO FLASH;2;0;0;4800.0;2026-02-22
NUCERA BELLA;5;0;0;11975.0;2026-03-22
NEW LOVE D'AMOUR;6;0;0;15500.0;2026-04-26
IBRA DE LOU;10;2;0;26625.0;2026-07-10
ILLICO DES BROUETS;7;0;0;17775.0;2026-05-03
HILKA DE BERTRANGE;5;0;0;13475.0;2026-04-16
JICKY GIRL;12;0;0;29525.0;2026-07-10
HE STAR DU CALICE;5;0;0;11925.0;2026-05-25
ICE SCOTT;11;0;0;30325.0;2026-06-20
HAHICHA GIRL;3;0;0;8350.0;2026-05-14
HYPERION DU BOCAGE;4;0;0;9775.0;2026-03-26
IDEAL DU DIGEON;4;0;0;10675.0;2026-03-15
GALON D'AMIRAL;3;0;0;7700.0;2026-07-07
HORSERIS;6;0;0;16400.0;2026-07-11
HABIBI;1;0;0;2850.0;2026-01-10
JACQUARD;1;1;0;2850.0;2026-01-10
HIPPARIS;8;0;0;19950.0;2026-06-05
NIKITA GOLD;7;0;0;17725.0;2026-06-25
NOCE ROYALE;2;0;0;5500.0;2026-06-04
NIKITA;8;0;0;20550.0;2026-06-05
